id_product;reference;price;test;id_shop_default;is_virtual;name;link_rewrite;active;shopname;id_image;name_category;price_final;nb_downloadable;sav_quantity;badge_danger
5333;301FG30;0.000000;test;1;0;"POLO KAPPA MSS";polo-kappa-mss;0;Base;;Polo;0;;0;1
5332;3113G2W;0.000000;test;1;0;ABRIXIO;abrixio;0;Base;;Autre;0;;0;1
5331;3024AC0;0.000000;test;1;0;CARCARELLA;carcarella;0;Base;;Polaire;0;;0;1
5330;3025A30;0.000000;test;1;0;"MOURIA TEE";mouria-tee;0;Base;;Accessoire;0;;0;1
5329;3025A20;0.000000;test;1;0;CARBOLLA;carbolla;0;Base;;Accessoire;0;;0;1
5328;3117FUW;0.000000;test;1;0;"ORVIETO X12";orvieto-x12;0;Base;;"Porte gourde";0;;0;1
5327;3117FHW;0.000000;test;1;0;BONKA;bonka;0;Base;;Sacoche;0;;0;1
5326;31175LW;0.000000;test;1;0;ORVI;orvi;0;Base;;"Porte gourde";0;;0;1
5325;31175JW;0.000000;test;1;0;SANREMO;sanremo;0;Base;;Short;0;;0;1
5324;3115IJW;0.000000;test;1;0;VENEZIA;venezia;0;Base;;"Veste à capuche";0;;0;1
5323;3115IIW;0.000000;test;1;0;SAVONE;savone;0;Base;;"Pantalon moleton";0;;0;1
5322;3115IHW;0.000000;test;1;0;ERICE;erice;0;Base;;Fuseau;0;;0;1
5321;3115CSW;0.000000;test;1;0;TELLARO;tellaro;0;Base;;"Sac de sport";0;;0;1
5320;3115CRW;0.000000;test;1;0;TORTONA;tortona;0;Base;;"Veste à capuche";0;;0;1
5319;311542W;0.000000;test;1;0;CALEIPO;caleipo;0;Base;;"Serviettes de bain";0;;0;1
5318;311541W;0.000000;test;1;0;WULGAR;wulgar;0;Base;;Chaussettes;0;;0;1
5317;31153QW;0.000000;test;1;0;DIMARO;dimaro;0;Base;;"Pantalon de survêtement";0;;0;1
5316;31153PW;0.000000;test;1;0;DIVIETO;divieto;0;Base;;"Veste à capuche";0;;0;1
5315;31153NW;0.000000;test;1;0;DIANO;diano;0;Base;;"Sweat à capuche";0;;0;1
5314;31153MW;0.000000;test;1;0;PARME;parme;0;Base;;"Sweat col rond";0;;0;1
5313;31153LW;0.000000;test;1;0;DOLCEDO;dolcedo;0;Base;;Fuseau;0;;0;1
5312;31153KW;0.000000;test;1;0;VERONE;verone;0;Base;;"Veste survêtement";0;;0;1
5311;31153JW;0.000000;test;1;0;TRIESTE;trieste;0;Base;;"Sweat col 1/4 zip";0;;0;1
5310;31153IW;0.000000;test;1;0;DIOLO;diolo;0;Base;;Parka;0;;0;1
5309;31153HW;0.000000;test;1;0;ODOLON;odolon;0;Base;;Softshell;0;;0;1
5308;31153GW;0.000000;test;1;0;LAMEZIA;lamezia;0;Base;;Doudoune;0;;0;1
5307;31153FW;0.000000;test;1;0;LAMEZIO;lamezio;0;Base;;Doudoune;0;;0;1
5306;31153EW;0.000000;test;1;0;DATTILO;dattilo;0;Base;;"Doudoune sans manche";0;;0;1
5305;31153CW;0.000000;test;1;0;ANCONE;ancone;0;Base;;T-shirt;0;;0;1
5304;31153BW;0.000000;test;1;0;CALDES;caldes;0;Base;;Polo;0;;0;1
5303;311539W;0.000000;test;1;0;DEGGIANO;deggiano;0;Base;;"Maillot manches courtes";0;;0;1
5302;311537W;0.000000;test;1;0;DOMASO;domaso;0;Base;;Short;0;;0;1
5301;31152QW;0.000000;test;1;0;DELEBIO;delebio;0;Base;;Short;0;;0;1
5300;31152PW;0.000000;test;1;0;DERVIO;dervio;0;Base;;"Maillot manches courtes";0;;0;1
5299;304VPN0;0.000000;test;1;0;"PLAYER ALBERG 4";player-alberg-4;0;Base;;Short;0;;0;1
5298;304PDQ0;18.333333;test;1;0;"MAILLOT CASTOLO MC - ORANGE/NOIR";maillot-castolo-mc-orangenoir;0;Base;24001;"Les produits";0;;0;1
5297;304VPJ0;0.000000;test;1;0;"PLAYER ADVERZIP PRO 4";player-adverzip-pro-4;0;Base;;"Veste de pluie";0;;0;1
5296;304VNF0;0.000000;test;1;0;"PLAYER ABUNSZIP PRO 4";player-abunszip-pro-4;0;Base;;Fuseau;0;;0;1
5295;304VNE0;0.000000;test;1;0;"PLAYER ARAIN PRO 4";player-arain-pro-4;0;Base;;Sweat;0;;0;1
5294;304VNB0;0.000000;test;1;0;"PLAYER ABLAS PRO 4";player-ablas-pro-4;0;Base;;"Sweat col 1/4 zip";0;;0;1
5293;304VNA0;0.000000;test;1;0;"PLAYER ALDREN PRO 4";player-aldren-pro-4;0;Base;;"Sweat col rond";0;;0;1
5292;304UTU0;0.000000;test;1;0;"PLAYER AHORA PRO 4";player-ahora-pro-4;0;Base;;Short;0;;0;1
5291;304UTM0;0.000000;test;1;0;"PLAYER ABOU PRO 4";player-abou-pro-4;0;Base;;"Maillot manches courtes";0;;0;1
5290;304UKR0;0.000000;test;1;0;BIRDIO;birdio;0;Base;;Running;0;;0;1
5289;304UJX0;0.000000;test;1;0;BACKPACK;backpack;0;Base;;"Sac à dos";0;;0;1
5288;304UJW0;0.000000;test;1;0;HARDBASE;hardbase;0;Base;;"Sac de sport";0;;0;1
5287;304TTM0;0.000000;test;1;0;TELVE;telve;0;Base;;"Veste à capuche";0;;0;1
5286;304TTL0;0.000000;test;1;0;TELESE;telese;0;Base;;"Maillot manches courtes";0;;0;1
5285;304TTK0;0.000000;test;1;0;TAVOLE;tavole;0;Base;;"Sweat col 1/4 zip";0;;0;1
5284;304TTJ0;0.000000;test;1;0;TALSANO;talsano;0;Base;;"Sweat col rond";0;;0;1
5283;304TSW0;0.000000;test;1;0;MELETO;meleto;0;Base;;T-shirt;0;;0;1
5282;304TST0;0.000000;test;1;0;MELETI;meleti;0;Base;;T-shirt;0;;0;1
5281;304TSS0;0.000000;test;1;0;MEDUNO;meduno;0;Base;;Veste;0;;0;1
5280;304TSP0;0.000000;test;1;0;MARTIO;martio;0;Base;;"Veste de pluie";0;;0;1
5279;304TSN0;0.000000;test;1;0;MARCO;marco;0;Base;;"Veste à capuche";0;;0;1
5278;304TSH0;0.000000;test;1;0;SALCI;salci;0;Base;;Fuseau;0;;0;1
5277;304TSG0;0.000000;test;1;0;ROVIGA;roviga;0;Base;;"Maillot manches courtes";0;;0;1
5276;304TSE0;0.000000;test;1;0;PELOSA;pelosa;0;Base;;Legging;0;;0;1
5275;304TSD0;0.000000;test;1;0;PEGLIO;peglio;0;Base;;Polo;0;;0;1
5274;304TSC0;0.000000;test;1;0;PECI;peci;0;Base;23999;"Bermuda moleton";0;;0;1
5273;304TSB0;0.000000;test;1;0;PATTI;patti;0;Base;;Legging;0;;0;1
5272;304TS80;0.000000;test;1;0;PASSO;passo;0;Base;;Short;0;;0;1
5271;304TS40;0.000000;test;1;0;MIEMO;miemo;0;Base;;"Pantalon moleton";0;;0;1
5270;304TS00;0.000000;test;1;0;MENATA;menata;0;Base;;Polo;0;;0;1
5269;304TQH0;0.000000;test;1;0;LIVON;livon;0;Base;;"Cuissard court";0;;0;1
5268;304TQG0;0.000000;test;1;0;LIVERI;liveri;0;Base;;Legging;0;;0;1
5267;304TQF0;0.000000;test;1;0;LIVERA;livera;0;Base;;Legging;0;;0;1
5266;304TQE0;0.000000;test;1;0;LIVA;liva;0;Base;;"Cuissard court";0;;0;1
5265;304TPQ0;0.000000;test;1;0;FALZES;falzes;0;Base;;Short;0;;0;1
5264;304TPP0;0.000000;test;1;0;FALZA;falza;0;Base;;Short;0;;0;1
5263;304TPM0;0.000000;test;1;0;FAEDIS;faedis;0;Base;;"Maillot manches courtes";0;;0;1
5262;304TP90;0.000000;test;1;0;"FOGGIA 2";foggia-2;0;Base;;"Pantalon de pluie";0;;0;1
5261;304TP80;0.000000;test;1;0;FANTO;fanto;0;Base;;"Maillot manches courtes";0;;0;1
5260;304TP70;0.000000;test;1;0;FANTI;fanti;0;Base;;"Maillot manches courtes";0;;0;1
5259;304TP60;0.000000;test;1;0;FANIO;fanio;0;Base;;"Maillot manches courtes";0;;0;1
5258;304TP50;0.000000;test;1;0;FANIA;fania;0;Base;;"Maillot manches courtes";0;;0;1
5257;304TNH0;0.000000;test;1;0;CERCHIO;cerchio;0;Base;;"Veste de pluie";0;;0;1
5256;304TNG0;0.000000;test;1;0;"CASERNHOR LS";casernhor-ls;0;Base;;"Maillot manches longues";0;;0;1
5255;304TNE0;0.000000;test;1;0;"CASERNHOR SS";casernhor-ss;0;Base;;"Maillot manches courtes";0;;0;1
5254;304TND0;0.000000;test;1;0;CALUSO;caluso;0;Base;;Short;0;;0;1
5253;304TMZ0;0.000000;test;1;0;BASILO;basilo;0;Base;;"Sweat à capuche";0;;0;1
5252;304TMY0;0.000000;test;1;0;BACENA;bacena;0;Base;;"Pantalon moleton";0;;0;1
5251;304TMT0;0.000000;test;1;0;ACCIOZI;acciozi;0;Base;;"Sweat à capuche";0;;0;1
5250;304TMB0;0.000000;test;1;0;CALUSA;calusa;0;Base;;Short;0;;0;1
5249;304TMA0;0.000000;test;1;0;CALASCIA;calascia;0;Base;;"Maillot manches courtes";0;;0;1
5248;304TM10;0.000000;test;1;0;CAIROSI;cairosi;0;Base;;Kit;0;;0;1
5247;304TM00;0.000000;test;1;0;CAIRO;cairo;0;Base;;"Maillot manches courtes";0;;0;1
5246;304TKK0;0.000000;test;1;0;SPONGIO;spongio;0;Base;;Accessoire;0;;0;1
5245;304SQX0;0.000000;test;1;0;"MATESE 3";matese-3;0;Base;;Claquette;0;;0;1
