"Product ID";Image;Nom;Référence;Catégorie;"Montant (HT)";"Montant (TTC)";Quantité;État;Position
2332;https://newpreprod.boutique.sportmidable.com/3394/pack-survetement-de-sortie.jpg;"PACK SURVÊTEMENT DE SORTIE";"PACK SURVÊTEMENT DE SORTIE";"Nos offres";30,83 €;37,00 €;0;0
2331;https://newpreprod.boutique.sportmidable.com/3392/pack-entrainement-avec-chaussettes-jaune.jpg;"PACK ENTRAINEMENT AVEC CHAUSSETTES NOIR";"PACK ENTRAINEMENT AVEC CHAUSSETTES NOIR";"Nos offres";29,17 €;35,00 €;0;0
2330;https://newpreprod.boutique.sportmidable.com/3393/pack-entrainement-avec-chaussettes-jaune.jpg;"PACK ENTRAINEMENT AVEC CHAUSSETTES JAUNE";"PACK ENTRAINEMENT AVEC CHAUSSETTES JAUNE";"Nos offres";29,17 €;35,00 €;0;0
2327;https://newpreprod.boutique.sportmidable.com/3765/je-personnalise-ou-non.jpg;"PERSONNALISATION DU PACK OBLIGATOIRE";INITIALES-PACK-0;"Les produits";0.000000;0;-40;1
2326;https://newpreprod.boutique.sportmidable.com/3372/sac-a-chaussures.jpg;"SAC A CHAUSSURES";BG540-NOIR;"Les incontournables";0.000000;13;0;1
2325;https://newpreprod.boutique.sportmidable.com/3371/gourde-sportmidable.jpg;"GOURDE SPORTMIDABLE";GOURDE-SP;"Les incontournables";6.666667;8;-4;1
2324;https://newpreprod.boutique.sportmidable.com/3370/casquette-trucker-retro.jpg;"CASQUETTE TRUCKER RETRO";FX6606-NB;"Les incontournables";0.000000;18;-3;1
2323;https://newpreprod.boutique.sportmidable.com/3369/mug-personnalise.jpg;"MUG PERSONNALISÉ";MUG-BLC;"Les incontournables";6.666667;8;0;1
2322;https://newpreprod.boutique.sportmidable.com/3368/sac-ado-box.jpg;"Sac ADO BOX";SA020-Jaune/Noir;Bagagerie;0.000000;32;0;1
2321;https://newpreprod.boutique.sportmidable.com/3367/sac-moyen.jpg;"Sac MOYEN";SA024-Noir;Bagagerie;0.000000;36;-2;1
2320;https://newpreprod.boutique.sportmidable.com/3366/parka-stana.jpg;"Parka STANA";BL013-Noir/Jaune;Hiver/Pluie;0.000000;82;-4;1
2319;https://newpreprod.boutique.sportmidable.com/3365/coupe-vent-zephyr.jpg;"Coupe vent ZEPHYR";CV012-Noir/Jaune;Hiver/Pluie;0.000000;29;-12;1
2318;https://newpreprod.boutique.sportmidable.com/3364/sweat-cobra.jpg;"Sweat COBRA";SW019-Noir/Gris;Lifestyle;0.000000;39;-17;1
2317;https://newpreprod.boutique.sportmidable.com/3363/pantalon-action.jpg;"Pantalon ACTION";SU012P-Noir;Sortie;0.000000;38;-1;1
2316;https://newpreprod.boutique.sportmidable.com/3405/pantalon-br11.jpg;"Pantalon BR11";SU011P-Noir;Sortie;0.000000;21;-5;1
2315;https://newpreprod.boutique.sportmidable.com/3406/veste-br11.jpg;"Veste BR11";SU011V-Noir/Jaune;Sortie;0.000000;30;-18;1
2313;https://newpreprod.boutique.sportmidable.com/3358/bermuda-polyv2.jpg;"Bermuda POLYV2";SH019-Noir;Lifestyle;0.000000;18;-1;1
2312;https://newpreprod.boutique.sportmidable.com/3357/polo-action.jpg;"Polo ACTION";PO009-Noir/Jaune;Sortie;0.000000;27;-2;1
2311;https://newpreprod.boutique.sportmidable.com/3373/chaussettes-team.jpg;"Chaussettes TEAM";CHO7TEA-Noir-PACK;Entraînement;0.000000;0;-15;1
2310;https://newpreprod.boutique.sportmidable.com/3374/chaussettes-team.jpg;"Chaussettes TEAM";CHO7TEA-Jaune-PACK;Entraînement;0.000000;0;-9;1
2309;https://newpreprod.boutique.sportmidable.com/3377/short-atlantik.jpg;"Short ATLANTIK";SH020-Noir/Jaune-PACK;Compétition;0.000000;0;-24;1
2308;https://newpreprod.boutique.sportmidable.com/3378/maillot-nais.jpg;"Maillot NAIS";MAMCNAI-Jaune/Noir-PACK;Compétition;0.000000;35;-24;1
1266;https://newpreprod.boutique.sportmidable.com/1591/je-personnalise-ou-non.jpg;"PERSONNALISATION DU PACK EN OPTION";INITIALES-FR-5;"Les produits";0.000000;0;0;1
1007;https://newpreprod.boutique.sportmidable.com/1222/.jpg;;;;0.000000;500;2147483647;0
